title,genre,director,production_company,release_date,budget,runtime,mpaa_rating,trailer_views,trailer_likes,cast_popularity_score,vote_average,vote_count,revenue,release_year,release_month,budget_to_runtime_ratio,trailer_engagement_rate
A Dream,Fantasy,Unknown Director D,Disney,2024-08-13,168756597,114,G,26472143,1246845,9.26,5.5,31862,2746226959,2024,8,1480321.0263157894,0.047100266872991736
Adventure,Sci-Fi,Unknown Director D,Sony Pictures,2023-01-17,163378008,176,G,10860459,412038,5.56,5.8,79920,3043312393,2023,1,928284.1363636364,0.037939280466875294
King Quest,Animation,Steven Spielberg,Warner Bros,2016-10-08,147002447,123,G,39963747,1495848,8.13,5.6,63700,37240214613,2016,10,1195141.8455284552,0.0374301238570047
A Magic,Action,Christopher Nolan,DreamWorks,2022-04-04,244283346,130,PG,6071116,297272,2.78,7.5,23119,27707161683,2022,4,1879102.6615384615,0.048964967890582224
Secret Secret,Thriller,Steven Spielberg,Disney,2023-01-01,134531419,102,R,19424800,774228,4.44,6.2,28080,4742867539,2023,1,1318935.4803921569,0.039857707672665874
The Dragon,Thriller,Steven Spielberg,Marvel Studios,2020-04-04,115756927,145,R,46608023,1207249,2.91,5.9,56481,19611686092,2020,4,798323.6344827586,0.0259021713922515
Quest,Action,Christopher Nolan,Paramount,2020-08-28,246338145,114,PG-13,26587654,979767,2.19,8.5,6390,22538983956,2020,8,2160860.9210526315,0.036850449460490195
An Storm Love,Horror,Unknown Director B,Sony Pictures,2019-10-28,42973618,147,R,41233141,1780594,9.34,6.6,58117,1023821310,2019,10,292337.537414966,0.04318356440514682
Shadow Queen,Horror,Martin Scorsese,Lions Gate,2019-11-23,20572483,147,R,2837485,78487,9.9,6.8,60999,947061272,2019,11,139948.86394557822,0.027660762964385716
Shadow,Animation,Christopher Nolan,DreamWorks,2023-08-08,233219686,101,PG,5256340,104318,5.48,4.5,44077,12269584365,2023,8,2309105.801980198,0.019846128675085707
The King,Horror,Greta Gerwig,Marvel Studios,2018-09-11,10885044,131,R,21904707,1049163,10.0,8.5,75600,330432729,2018,9,83091.93893129771,0.04789669179322965
An Fire,Sci-Fi,Steven Spielberg,Marvel Studios,2024-07-23,135894366,130,R,27104354,579963,7.77,7.3,16807,12343286968,2024,7,1045341.276923077,0.021397410910438966
The Queen Adventure,Horror,Greta Gerwig,MGM,2019-09-29,17109438,138,R,24811901,857368,4.91,6.1,6300,857878998,2019,9,123981.43478260869,0.03455470824262921
A Moon Adventure,Horror,Martin Scorsese,Universal Pictures,2022-09-03,45320166,143,PG-13,35204113,954357,6.12,6.8,6910,7398635335,2022,9,316924.2377622378,0.02710924714961573
A Journey Dream,Comedy,Unknown Director D,20th Century Fox,2015-07-05,16179070,116,PG-13,21168583,708900,5.09,7.4,82764,478671973,2015,7,139474.74137931035,0.03348830670432688
A Love,Action,Martin Scorsese,Lions Gate,2020-02-28,158740946,145,R,20420562,709409,9.77,5.8,89316,5562381682,2020,2,1094765.1448275861,0.034739935169267135
An Quest Magic,Drama,David Fincher,DreamWorks,2017-02-20,16555280,139,R,10043228,290847,1.2,4.8,20978,338494296,2017,2,119102.73381294963,0.028959513813686198
The Queen,Sci-Fi,David Fincher,Lions Gate,2023-04-08,198794987,138,G,32815337,852779,5.62,7.6,89954,16131345670,2023,4,1440543.384057971,0.02598720835931077
An Legend,Romance,Denis Villeneuve,20th Century Fox,2015-03-27,26653807,108,PG,31590192,750390,3.09,5.1,90780,961833393,2015,3,246794.50925925927,0.023753891714238393
An Secret Knight,Comedy,Greta Gerwig,Disney,2018-03-02,97703855,137,G,44865400,1315255,2.56,4.8,65511,1379323877,2018,3,713166.8248175182,0.029315575031093003
War,Action,Unknown Director C,Warner Bros,2018-10-15,165593801,97,PG,8199236,266305,5.38,9.0,47562,16037648785,2018,10,1707152.587628866,0.03247924562727552
A Legend Princess,Adventure,Steven Spielberg,MGM,2021-11-02,289958470,144,G,37846915,442005,1.95,7.1,27920,51293263919,2021,11,2013600.486111111,0.01167875902170626
The Star Secret,Sci-Fi,Unknown Director C,Marvel Studios,2017-10-01,177148032,141,PG-13,33991501,572772,3.39,7.6,55396,15227504425,2017,10,1256369.0212765958,0.016850447410368844
An Past Peace,Romance,Christopher Nolan,Lions Gate,2016-08-19,286736067,90,G,5789369,136236,4.61,7.9,57894,9758401018,2016,8,3185956.3,0.023532098230394365
The Future Dragon,Fantasy,Unknown Director D,Paramount,2023-02-03,134206922,148,PG-13,630309,27153,9.1,7.1,20249,2878752890,2023,2,906803.527027027,0.04307887083954061
Moon,Action,Jordan Peele,Sony Pictures,2019-05-17,83824382,123,PG-13,14443480,198060,5.97,6.6,84320,1619934067,2019,5,681499.0406504065,0.01371276174439955
An Dragon Ocean,Romance,Steven Spielberg,Marvel Studios,2023-06-26,254741392,150,G,30214222,662248,7.63,6.3,31945,19304876436,2023,6,1698275.9466666668,0.021918419742861493
A Peace Quest,Sci-Fi,Jordan Peele,Disney,2016-03-07,138005748,153,PG,24344253,685835,2.32,6.1,55008,2252273944,2016,3,901998.3529411765,0.02817235755806514
An Magic Star,Sci-Fi,Denis Villeneuve,Lions Gate,2023-03-17,161916740,172,PG,9786908,295872,5.36,6.3,93343,2974754909,2023,3,941376.3953488372,0.030231407100179138
Love Peace,Horror,Christopher Nolan,DreamWorks,2016-09-19,111606185,113,R,25229569,558340,5.37,8.0,19630,9173362746,2016,9,987665.3539823008,0.02213038201326388
An Empire,Horror,Greta Gerwig,Lions Gate,2018-10-15,55641104,120,PG-13,9396073,283672,5.15,6.2,59861,588149241,2018,10,463675.86666666664,0.030190484897254417
The Shadow Ocean,Adventure,Unknown Director D,Universal Pictures,2022-12-06,8329148,126,PG-13,37751049,1351728,6.8,4.4,82094,337941836,2022,12,66104.3492063492,0.03580636924817639
Secret Magic,Animation,Denis Villeneuve,Warner Bros,2024-01-19,76611045,128,PG,27064198,908158,5.42,8.7,45558,2804889186,2024,1,598523.7890625,0.03355569597887216
An Adventure Dream,Sci-Fi,Unknown Director A,Universal Pictures,2015-08-30,137319557,131,G,47968794,591938,4.51,5.6,55109,6698599218,2015,8,1048240.893129771,0.012340064250937808
A Dream Storm,Romance,Denis Villeneuve,DreamWorks,2019-07-26,13785652,120,G,27446445,970002,9.22,4.1,73623,114339857,2019,7,114880.43333333333,0.0353416262106076
An Empire Shadow,Comedy,Unknown Director C,Disney,2021-01-10,61875091,148,R,2904619,29162,5.18,8.1,38912,476877653,2021,1,418074.9391891892,0.010039870977914832
An Past Adventure,Comedy,Unknown Director B,DreamWorks,2021-04-25,14386546,109,G,26628462,1010208,8.47,7.6,37629,604018316,2021,4,131986.6605504587,0.03793715160868097
A Hero Fire,Drama,Denis Villeneuve,MGM,2018-09-07,7130654,178,PG,43482074,2038887,6.48,4.0,2255,234988850,2018,9,40059.85393258427,0.04689028862790676
Past,Adventure,Ridley Scott,20th Century Fox,2024-04-12,85706579,112,R,11990793,522388,8.31,8.9,17353,3406026128,2024,4,765237.3125,0.04356575916205042
Dragon,Drama,Denis Villeneuve,Sony Pictures,2015-05-31,42682480,151,PG,578848,10328,8.39,6.0,37352,455190536,2015,5,282665.43046357617,0.01784233512079164
The Hero,Drama,Jordan Peele,Paramount,2017-02-24,95996763,121,PG-13,45779685,1483474,5.09,8.7,85012,4873078958,2017,2,793361.6776859504,0.0324046353748393
A Light Knight,Action,James Cameron,20th Century Fox,2020-12-20,200490341,110,G,26397204,469456,1.74,6.9,4325,7852764919,2020,12,1822639.4636363636,0.017784307762291795
Past,Romance,Unknown Director D,Paramount,2017-10-09,19474127,120,PG,22970832,994653,8.39,6.6,32030,127585268,2017,10,162284.39166666666,0.04330069542104526
An Kingdom Princess,Comedy,Christopher Nolan,Lions Gate,2015-08-13,160925525,129,R,4515109,63541,1.5,4.3,50998,5253267263,2015,8,1247484.6899224806,0.014072971438784755
An Shadow,Action,Denis Villeneuve,DreamWorks,2018-09-06,101668810,96,G,924672,31260,1.61,7.9,26377,2268307047,2018,9,1059050.1041666667,0.03380658222591362
A Empire Legend,Romance,James Cameron,MGM,2024-12-04,225262156,139,PG,9992454,287592,6.43,5.5,2059,2961526759,2024,12,1620591.0503597122,0.02878091808078376
A Storm Storm,Drama,Unknown Director A,Lions Gate,2022-10-16,97857327,149,PG-13,38916488,1270385,4.02,5.5,44072,1957403703,2022,10,656760.5838926175,0.03264387577830764
An King Secret,Romance,Unknown Director C,20th Century Fox,2017-04-20,58729043,101,G,24448246,254156,4.22,6.8,19664,569395170,2017,4,581475.6732673268,0.010395674192741679
An Legend,Comedy,Quentin Tarantino,Marvel Studios,2016-12-22,40136671,148,G,1508867,65270,2.24,7.3,15544,393768058,2016,12,271193.72297297296,0.043257623103958136
A Kingdom Quest,Comedy,Unknown Director C,Disney,2017-02-24,76478283,114,PG-13,21437371,728484,9.79,5.2,7054,1642093189,2017,2,670862.1315789474,0.03398196541917384
A Shadow Mystery,Adventure,Unknown Director C,Lions Gate,2023-11-14,94053757,129,G,11336274,343994,7.76,7.2,67736,2470134176,2023,11,729098.8914728683,0.03034453824951655
An Princess Journey,Drama,Quentin Tarantino,Disney,2020-01-26,36458567,145,PG,20635247,557170,4.39,4.8,50034,457908620,2020,1,251438.39310344827,0.027000888334411506
Legend,Thriller,Ridley Scott,Paramount,2019-04-16,8317620,101,R,15789408,325656,1.68,8.5,39603,128044797,2019,4,82352.67326732674,0.020624965799857727
An Dream Dream,Horror,Quentin Tarantino,MGM,2016-07-18,77897088,148,R,672698,27448,3.54,5.7,53928,2039667155,2016,7,526331.6756756756,0.04080285655673125
A Mystery Shadow,Animation,Unknown Director C,DreamWorks,2023-07-01,67912993,136,PG,22961276,956947,3.82,4.9,92480,1315881032,2023,7,499360.2426470588,0.041676560135421044
Legend,Sci-Fi,Unknown Director A,20th Century Fox,2023-07-22,194311977,139,PG-13,39489889,431608,8.07,8.6,21144,27613578005,2023,7,1397927.892086331,0.010929582506549967
Hero Secret,Romance,Greta Gerwig,Lions Gate,2022-03-02,45888822,95,PG,7100338,262679,2.6,8.1,80084,613907463,2022,3,483040.2315789474,0.03699528106971809
The Journey Journey,Sci-Fi,David Fincher,Universal Pictures,2016-03-29,84665128,154,R,32194890,1278964,4.5,8.5,28063,1876278446,2016,3,549773.5584415584,0.03972568317518712
An Hero,Comedy,Denis Villeneuve,Warner Bros,2024-03-31,58584671,128,PG,35389632,819470,6.12,6.5,61646,1380698907,2024,3,457692.7421875,0.0231556519152276
Magic Magic,Animation,Unknown Director B,20th Century Fox,2020-02-19,56628861,148,G,46977020,1538244,4.54,8.7,32417,3853822065,2020,2,382627.4391891892,0.032744605766819604
A Queen Future,Romance,Steven Spielberg,Warner Bros,2020-08-28,285766266,139,PG-13,27621081,774424,3.27,6.5,61577,12242278169,2020,8,2055872.417266187,0.028037425472232605
Light Sun,Thriller,Denis Villeneuve,Lions Gate,2015-10-07,16079489,125,PG-13,47987646,2303442,2.26,8.1,22150,430046754,2015,10,128635.912,0.04800072918767468
Light Secret,Action,Unknown Director A,DreamWorks,2017-06-04,168664078,134,G,42700063,1813064,6.77,7.6,14473,12193379843,2017,6,1258687.1492537314,0.04246045257591306
The Queen Storm,Romance,Unknown Director D,Disney,2022-08-17,94784876,94,PG,6582931,275673,8.47,4.8,22895,286719700,2022,8,1008349.7446808511,0.041876939010905626
An Knight,Action,David Fincher,Sony Pictures,2015-02-19,154471498,103,R,14870405,187971,8.34,7.2,49362,3362500468,2015,2,1499723.2815533981,0.012640610662587872
A Past,Romance,Unknown Director A,20th Century Fox,2022-08-08,98109622,98,PG-13,11866267,420233,8.96,5.6,88342,2781263155,2022,8,1001118.5918367347,0.03541408599688512
Love Princess,Horror,Quentin Tarantino,20th Century Fox,2023-06-29,37688154,129,PG-13,4121365,63890,5.49,5.0,50250,2795830268,2023,6,292156.23255813954,0.01550214552702806
An Mystery,Horror,Unknown Director C,Marvel Studios,2017-07-27,49462343,111,PG-13,13912174,439241,9.16,7.3,33550,3296351015,2017,7,445606.69369369367,0.031572419953919496
An Princess Sun,Drama,Martin Scorsese,Warner Bros,2016-12-12,84541539,155,PG,15958504,483494,4.84,6.3,22516,3121994036,2016,12,545429.2838709677,0.03029695014018858
A Mountain Shadow,Comedy,Denis Villeneuve,Lions Gate,2019-09-28,72819218,129,R,10560826,451835,8.14,4.1,50993,551299590,2019,9,564490.0620155039,0.042784058746919984
A Peace Legend,Romance,Martin Scorsese,Lions Gate,2017-03-12,25766764,148,PG,380552,4000,5.51,7.6,65415,550671428,2017,3,174099.75675675675,0.01051104711051315
A Mountain Shadow,Comedy,Quentin Tarantino,20th Century Fox,2017-11-11,51785439,122,R,42712769,1603419,7.27,7.3,56579,2817482725,2017,11,424470.81147540984,0.037539570426820136
The Mystery Quest,Animation,Greta Gerwig,Universal Pictures,2015-02-20,20667321,139,G,43344776,1667229,4.46,7.5,11531,2153355226,2015,2,148685.76258992805,0.03846435842695323
An Love Legend,Adventure,Steven Spielberg,MGM,2023-09-17,294086388,112,PG,18153716,725226,9.37,6.0,41383,13265195389,2023,9,2625771.3214285714,0.03994917624578902
An Princess War,Thriller,Martin Scorsese,DreamWorks,2016-03-27,65486666,126,PG-13,12557958,226515,7.75,8.0,26150,3921578988,2016,3,519735.44444444444,0.018037566298597273
Love Hero,Thriller,Denis Villeneuve,Warner Bros,2015-02-08,13194860,107,PG-13,44749022,1490044,9.89,4.5,69463,390915954,2015,2,123316.44859813084,0.033297800340753816
King Empire,Drama,Ridley Scott,20th Century Fox,2019-03-31,86981404,123,PG-13,22263054,940632,1.03,8.4,53665,3642206655,2019,3,707165.8861788618,0.042250807099511144
The Hero Fire,Sci-Fi,Unknown Director A,Disney,2015-01-13,136485495,121,PG-13,3170517,154670,7.62,7.4,31612,1826601163,2015,1,1127979.2975206613,0.04878384187815426
The Queen Knight,Drama,Unknown Director B,Universal Pictures,2024-10-02,74800523,176,G,8680630,259698,1.78,8.2,72925,2033961649,2024,10,425002.9715909091,0.029916953032210796
The Queen,Action,Martin Scorsese,Sony Pictures,2019-04-20,125257987,104,PG-13,44789985,1301242,9.08,4.6,18793,26359520277,2019,4,1204403.7211538462,0.02905207492255244
Mountain,Sci-Fi,Unknown Director A,DreamWorks,2024-08-07,167296161,171,PG,15102242,307538,3.62,4.6,45595,4398170611,2024,8,978340.1228070175,0.020363731424777858
Dragon,Sci-Fi,Ridley Scott,Sony Pictures,2023-12-11,83905374,153,PG,7252860,187214,5.84,6.3,19966,2807999032,2023,12,548401.1372549019,0.02581243812785577
The Dream Kingdom,Adventure,James Cameron,MGM,2020-05-13,249403460,143,PG,33320600,721717,9.7,4.3,44665,45220384351,2020,5,1744080.13986014,0.021659784037502326
An Knight Legend,Comedy,Christopher Nolan,DreamWorks,2019-05-26,170572846,117,R,23474497,946223,4.52,6.6,38098,6719488961,2019,5,1457887.5726495727,0.04030855272426072
An Peace Princess,Animation,Martin Scorsese,Lions Gate,2022-10-21,69752231,108,G,14177181,265474,7.74,7.7,2197,4783280788,2022,10,645853.9907407408,0.018725443372698707
Moon Queen,Action,Steven Spielberg,DreamWorks,2022-04-16,170861594,127,R,10070251,353253,4.64,4.2,32569,4622004080,2022,4,1345366.8818897638,0.035078867448289024
Hero,Thriller,Ridley Scott,Marvel Studios,2016-05-06,20653496,95,PG-13,32930893,1174196,9.18,5.1,77919,256546998,2016,5,217405.2210526316,0.03565636680426492
The Queen War,Fantasy,Martin Scorsese,20th Century Fox,2024-02-12,55300630,115,R,4390381,135030,6.26,7.6,86419,763624362,2024,2,480875.04347826086,0.03075587289576918
The Knight Sun,Comedy,Steven Spielberg,DreamWorks,2017-11-17,282150349,92,G,8469624,256171,4.27,6.7,56450,38665361215,2017,11,3066851.6195652173,0.030245852708455534
Mystery Storm,Romance,Greta Gerwig,DreamWorks,2020-09-22,33164181,134,G,44567473,1907065,3.13,4.9,40283,450413403,2020,9,247493.88805970148,0.04279051226440413
Dragon Love,Thriller,Steven Spielberg,Paramount,2022-08-03,194177238,150,PG-13,36063930,654578,6.67,5.3,83984,38675922679,2022,8,1294514.92,0.01815048997710455
A Shadow,Adventure,James Cameron,Warner Bros,2020-12-16,109525250,133,R,4526457,104897,1.8,8.5,36815,6813929563,2020,12,823498.1203007519,0.023174195623641182
An Love Ocean,Thriller,Steven Spielberg,DreamWorks,2018-11-30,268027101,126,R,37113372,773522,1.89,4.2,42680,16680970840,2018,11,2127199.214285714,0.02084213743768688
The Adventure Dragon,Comedy,Unknown Director A,Universal Pictures,2016-08-07,55841764,126,PG-13,3647684,170484,6.75,5.9,33651,579493162,2016,8,443188.6031746032,0.046737601173785885
A Princess Quest,Adventure,James Cameron,20th Century Fox,2023-08-23,163949675,144,G,42692431,562643,7.57,8.7,22641,45537270133,2023,8,1138539.4097222222,0.013178987160510958
The Past,Fantasy,Unknown Director B,Warner Bros,2019-07-19,53731322,129,PG,589240,22724,7.32,7.7,33011,4091304070,2019,7,416521.87596899224,0.038564931097685155
The Love Legend,Comedy,Steven Spielberg,Sony Pictures,2024-05-31,115787493,122,PG-13,3516281,94619,4.41,5.9,15841,12087657619,2024,5,949077.8114754099,0.02690882782121224
A Dream Mountain,Fantasy,Unknown Director D,Marvel Studios,2020-03-11,181068030,93,PG-13,495345,17149,3.96,5.8,1675,5492591025,2020,3,1946968.064516129,0.03462031513389658
An Peace Moon,Horror,Quentin Tarantino,Lions Gate,2019-06-08,55238966,109,R,28845509,1317885,5.83,5.3,58484,3181439446,2019,6,506779.50458715594,0.04568770133333407
Fire Love,Action,Martin Scorsese,Disney,2020-05-17,121350042,97,R,32920786,1053628,8.2,7.6,43583,4337062650,2020,5,1251031.3608247424,0.03200494666196609
Storm Mountain,Drama,Christopher Nolan,Sony Pictures,2019-10-26,240279272,167,G,29247293,854246,3.54,4.4,57223,16534571629,2019,10,1438798.0359281437,0.029207694537747478
A Sun,Fantasy,Greta Gerwig,Universal Pictures,2017-02-11,89923358,104,G,8978221,233894,3.46,5.0,20163,1654800805,2017,2,864647.6730769231,0.026051263385029173
Empire Mountain,Horror,Steven Spielberg,Paramount,2019-01-29,155311161,150,R,47853701,1278792,3.88,4.2,6359,13173198206,2019,1,1035407.74,0.026722948764192764
An Moon,Fantasy,Unknown Director C,Universal Pictures,2018-09-18,146789424,137,PG-13,49957323,2055860,5.76,5.9,86229,8710579482,2018,9,1071455.6496350365,0.041152325155613324
An Moon Secret,Adventure,Steven Spielberg,DreamWorks,2021-12-10,172045972,109,R,13655931,428008,2.38,4.6,55815,10878574817,2021,12,1578403.4128440367,0.031342279043442736
Sun,Fantasy,Unknown Director C,Marvel Studios,2016-11-14,123591215,134,PG,19538509,230902,6.1,8.0,91938,1946968931,2016,11,922322.5,0.011817790190643513
Kingdom Empire,Action,Martin Scorsese,MGM,2017-06-11,52378692,146,R,33910637,1299121,5.73,5.5,29879,911304381,2017,6,358758.16438356164,0.03831013259939647
Love,Drama,Unknown Director D,Disney,2020-12-29,20594065,120,PG-13,42558629,1455776,4.32,4.4,93466,496005159,2020,12,171617.20833333334,0.03420636505936317
A Princess Fire,Action,Jordan Peele,MGM,2016-03-11,152537237,150,PG-13,42125559,1490074,5.96,8.1,29919,8098584538,2016,3,1016914.9133333333,0.035372207167624764
A Sun Queen,Comedy,Quentin Tarantino,MGM,2020-07-02,29213769,131,PG-13,1512460,33888,8.97,8.1,91094,1626906035,2020,7,223005.87022900765,0.022405881808444522
An King Dream,Action,Steven Spielberg,Marvel Studios,2023-07-25,253001849,149,G,8970385,178813,1.75,4.7,83232,23763397501,2023,7,1697998.9865771811,0.019933704071787333
War Knight,Horror,Ridley Scott,Lions Gate,2016-09-24,37723471,93,R,42209862,1339931,1.19,4.2,72387,320373994,2016,9,405628.72043010755,0.031744500846745245
A Dream,Adventure,Denis Villeneuve,Universal Pictures,2016-03-27,35134894,96,PG-13,24078527,314263,4.0,5.8,12115,970596634,2016,3,365988.4791666667,0.013051587416456165
An Sun Legend,Thriller,Unknown Director A,Sony Pictures,2017-12-23,15250139,140,PG-13,10075259,414207,2.32,4.7,59549,336484711,2017,12,108929.56428571428,0.04111130046383919
Legend Future,Sci-Fi,Denis Villeneuve,20th Century Fox,2021-09-30,139513868,128,PG,25815124,690461,5.47,6.7,70792,9626386437,2021,9,1089952.09375,0.02674637549678243
The King Journey,Romance,Jordan Peele,Lions Gate,2016-07-01,19784930,93,PG-13,24316806,1068725,8.8,8.1,39626,1088208451,2016,7,212741.18279569893,0.04395005659871613
A Hero Dream,Sci-Fi,Ridley Scott,Marvel Studios,2022-11-12,78456797,162,G,32099289,1396238,8.83,4.2,48873,1585707211,2022,11,484301.2160493827,0.04349747435215777
An Empire Magic,Thriller,Unknown Director C,Marvel Studios,2018-03-20,19933959,99,PG-13,43214377,487664,7.76,6.5,2424,276961173,2018,3,201353.12121212122,0.011284762938963577
The Sun Empire,Sci-Fi,Martin Scorsese,Disney,2019-06-29,65031533,134,R,12427480,533141,9.78,7.0,11119,4005918035,2019,6,485309.947761194,0.04290016962409113
Empire Dragon,Romance,Christopher Nolan,Disney,2018-03-01,123690663,124,G,4483495,82838,1.1,8.5,25607,2115152885,2018,3,997505.3467741936,0.01847621108086437
Sun,Romance,Unknown Director C,Paramount,2019-06-19,72137866,102,PG-13,26315494,1027028,9.76,7.5,13763,2323123207,2019,6,707233.9803921569,0.03902750220079471
The Fire Dragon,Adventure,Unknown Director A,Warner Bros,2023-01-21,36080809,146,PG,45831988,1657688,7.92,4.8,66748,3031188334,2023,1,247128.82876712328,0.03616879983473551
An Fire,Sci-Fi,Quentin Tarantino,Disney,2021-11-05,70132199,129,R,6636808,280000,2.28,8.4,72714,4393768898,2021,11,543660.4573643411,0.04218895589566551
The Queen Dragon,Thriller,James Cameron,Lions Gate,2017-11-14,284855542,146,R,43740362,2054328,9.46,8.9,64997,35704423886,2017,11,1951065.3561643835,0.046966415138493825
The Love Quest,Horror,Unknown Director A,Marvel Studios,2021-12-17,91418337,93,PG-13,47059111,2016454,1.07,8.3,39097,4389701046,2021,12,982992.8709677419,0.04284938574381484
The Mystery Empire,Adventure,David Fincher,20th Century Fox,2017-03-28,58891165,111,G,21392626,506939,6.44,5.1,98161,2181003614,2017,3,530551.0360360361,0.02369690378357477
An Kingdom Kingdom,Sci-Fi,Denis Villeneuve,Disney,2015-08-10,106772188,175,G,45980413,1237646,3.27,4.9,19577,1481026095,2015,8,610126.7885714286,0.026916809120440043
A Future Peace,Horror,Martin Scorsese,Disney,2018-12-01,61250794,120,R,36037218,1353313,2.45,7.5,47490,6052981437,2018,12,510423.2833333333,0.03755320402368462
A Quest,Romance,Christopher Nolan,Universal Pictures,2020-02-22,119590628,121,PG-13,7724028,321942,7.07,5.3,95671,1431833410,2020,2,988352.2975206611,0.04168058427545835
Magic,Sci-Fi,Quentin Tarantino,Sony Pictures,2017-05-09,101313853,163,G,24947487,1061544,1.15,8.5,66809,12934878726,2017,5,621557.3803680982,0.042551139519583676
A Fire Love,Romance,Martin Scorsese,DreamWorks,2021-09-02,26831471,124,R,25706281,550143,6.94,7.4,84113,1468425399,2021,9,216382.8306451613,0.021401112047285252
Shadow,Fantasy,Steven Spielberg,Lions Gate,2020-08-23,236023700,141,G,44909268,969868,4.79,5.1,60589,58847454336,2020,8,1673926.9503546099,0.02159616585155652
Ocean Light,Drama,Jordan Peele,Paramount,2018-01-01,93406780,136,PG-13,27931154,1031554,1.04,8.5,5282,637873216,2018,1,686814.5588235294,0.03693202221433457
A Hero Love,Sci-Fi,Unknown Director D,Marvel Studios,2023-12-27,165186311,128,R,48962816,829855,9.14,6.6,58331,1212974545,2023,12,1290518.0546875,0.016948677951856363
An Dragon Peace,Action,David Fincher,Marvel Studios,2022-01-19,91083675,91,G,38472434,973206,7.68,4.7,60468,2945869596,2022,1,1000919.5054945055,0.025296189994113708
Sun,Adventure,Martin Scorsese,Marvel Studios,2022-02-27,82759654,145,G,7544488,214000,6.36,4.5,38022,1212674131,2022,2,570756.2344827587,0.02836507924725972
Sun,Sci-Fi,David Fincher,Sony Pictures,2022-02-08,171031783,171,PG,12166605,267059,9.13,7.3,83734,5261594462,2022,2,1000185.8654970761,0.021950166048786822
Secret Kingdom,Action,Jordan Peele,DreamWorks,2023-07-14,90895072,103,PG-13,7803322,358507,1.27,4.7,11937,2965654270,2023,7,882476.427184466,0.04594286894735345
An Adventure Moon,Drama,James Cameron,Universal Pictures,2017-03-21,264430581,174,PG-13,26462101,373533,8.14,6.9,22712,26956246730,2017,3,1519715.9827586208,0.014115772591148375
An Adventure Secret,Adventure,Denis Villeneuve,Universal Pictures,2024-12-22,9531191,122,PG-13,39484128,1042078,6.43,8.4,70533,489479358,2024,12,78124.51639344262,0.026392326557142153
The Mountain Magic,Action,Unknown Director B,Sony Pictures,2017-05-25,174923586,126,PG-13,15712792,510125,4.47,7.0,70109,3035175516,2017,5,1388282.4285714286,0.03246558600152029
An Queen,Action,Unknown Director C,Lions Gate,2020-08-04,62560589,107,R,8103337,121255,2.54,5.6,51181,471765764,2020,8,584678.4018691588,0.014963588457446605
An Fire,Romance,Unknown Director A,Marvel Studios,2015-10-12,68068018,96,R,48636732,1071950,3.85,5.7,11455,749759228,2015,10,709041.8541666666,0.02203992653124803
An Knight Queen,Action,Unknown Director D,Marvel Studios,2016-07-22,78222146,110,R,15289504,256980,2.72,8.5,49349,4632442148,2016,7,711110.4181818182,0.016807608670627902
A Dragon Legend,Sci-Fi,James Cameron,Universal Pictures,2016-07-18,236619527,149,G,8575091,195283,2.33,6.9,55171,16248285444,2016,7,1588050.5167785236,0.022773286021104615
The Light Star,Romance,Jordan Peele,Disney,2022-05-25,91856891,137,PG,46738316,613237,9.75,4.3,2720,3104202709,2022,5,670488.2554744525,0.013120648163703631
An King,Fantasy,Steven Spielberg,Universal Pictures,2017-06-15,177614885,114,R,41739577,1274666,8.02,4.9,37416,15436437575,2017,6,1558025.3070175438,0.030538546186033463
An Empire King,Fantasy,Denis Villeneuve,Sony Pictures,2017-12-23,81762945,149,G,23885182,651084,2.36,6.5,67574,1929077612,2017,12,548744.5973154362,0.027258908891713698
A Journey Star,Adventure,Unknown Director A,Marvel Studios,2022-04-01,38412730,97,PG,7830129,94944,1.32,5.3,9630,716337636,2022,4,396007.5257731959,0.012125470729792575
An Future Future,Horror,Unknown Director B,MGM,2018-03-25,5416997,96,PG-13,33871874,1568650,6.6,7.7,91169,66803697,2018,3,56427.052083333336,0.04631128469596929
A Shadow Mountain,Action,Greta Gerwig,Sony Pictures,2020-04-24,50270173,121,PG,31813518,457333,8.37,6.8,39097,3677083626,2020,4,415455.97520661156,0.014375429966594704
Star Light,Romance,Denis Villeneuve,Marvel Studios,2024-04-13,52328711,109,PG-13,34851053,1428232,8.71,8.5,79085,4510046540,2024,4,480079.91743119265,0.04098102860765785
An Star Legend,Sci-Fi,Ridley Scott,Disney,2023-05-07,73964303,132,R,42964696,615136,3.47,7.1,72423,1418389228,2023,5,560335.6287878788,0.014317243161687912
The Journey Queen,Fantasy,Unknown Director B,Sony Pictures,2024-05-09,83007162,117,R,38128071,1857833,8.13,5.4,2092,1066174517,2024,5,709462.9230769231,0.04872612097265555
Sun Star,Horror,Unknown Director D,MGM,2016-05-20,12139481,121,R,441600,12017,6.94,4.0,33955,85415326,2016,5,100326.28925619835,0.027212409420289855
The Star,Horror,Quentin Tarantino,Marvel Studios,2020-04-22,52597933,105,R,28457742,738892,9.14,8.5,40586,2153115675,2020,4,500932.69523809524,0.025964533658362633
The Love Kingdom,Thriller,Jordan Peele,Universal Pictures,2019-03-20,63638761,96,PG-13,35437608,980773,3.82,8.7,94401,2833430053,2019,3,662903.7604166666,0.0276760496927445
